"Site number"	"Site name"	"Transect number"	"Transect point number"	"Measurement taken in thalweg"	"Depth (m)"	"Bed substrate"	"Embeddedness (percent)"	"Silt present"	"Woody debris present"	"Overhanging vegetation present"	"Undercut banks"	"Boulders"	"Aquatic macrophytes"	"Manmade structure"	"Too turbid to determine if cover features exist"	"No habitat features"	"Habitat features not classified"
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	9	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	10	1	FALSE	0.1	4	50	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	10	2	FALSE	0.3	3	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	10	3	TRUE	0.4	3	60	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	10	4	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	10	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	11	1	FALSE	0.2	3	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	11	2	FALSE	0.3	4	30	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	11	3	TRUE	0.45	4	20	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	11	4	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
